Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter
5620;Nordkapp;Honningsvåg;Finnmark;Honningsvåg, Nordkapp, Finnmark
5626;Gamvik;Mehamn;Finnmark;Mehamn, Gamvik, Finnmark
5618;Måsøy;Havøysund;Finnmark;Havøysund, Måsøy, Finnmark
5630;Berlevåg;Berlevåg;Finnmark;Berlevåg, Berlevåg, Finnmark
5624;Lebesby;Kjøllefjord;Finnmark;Kjøllefjord, Lebesby, Finnmark
5632;Båtsfjord;Båtsfjord;Finnmark;Båtsfjord, Båtsfjord, Finnmark
5603;Hammerfest;Hammerfest;Finnmark;Hammerfest, Hammerfest, Finnmark
5616;Hasvik;Breivikbotn;Finnmark;Breivikbotn, Hasvik, Finnmark
5634;Vardø;Vardø;Finnmark;Vardø, Vardø, Finnmark
5628;Tana;Tana bru;Finnmark;Tana bru, Tana, Finnmark
5614;Loppa;Øksfjord;Finnmark;Øksfjord, Loppa, Finnmark
5622;Porsanger;Lakselv;Finnmark;Lakselv, Porsanger, Finnmark
5636;Nesseby;Varangerbotn;Finnmark;Varangerbotn, Nesseby, Finnmark
5607;Vadsø;Vadsø;Finnmark;Vadsø, Vadsø, Finnmark
5542;Skjervøy;Skjervøy;Troms;Skjervøy, Skjervøy, Troms
5534;Karlsøy;Hansnes;Troms;Hansnes, Karlsøy, Troms
5601;Alta;Alta;Finnmark;Alta, Alta, Finnmark
5546;Kvænangen;Burfjord;Troms;Burfjord, Kvænangen, Troms
5544;Nordreisa;Storslett;Troms;Storslett, Nordreisa, Troms
5605;Sør-Varanger;Kirkenes;Finnmark;Kirkenes, Sør-Varanger, Finnmark
5501;Tromsø;Tromsø;Troms;Tromsø, Tromsø, Troms
5536;Lyngen;Lyngseidet;Troms;Lyngseidet, Lyngen, Troms
5540;Kåfjord;Olderdalen;Troms;Olderdalen, Kåfjord, Troms
5610;Karasjok;Karasjok;Finnmark;Karasjok, Karasjok, Finnmark
5538;Storfjord;Hatteng;Troms;Hatteng, Storfjord, Troms
5530;Senja;Finnsnes;Troms;Finnsnes, Senja, Troms
5532;Balsfjord;Storsteinnes;Troms;Storsteinnes, Balsfjord, Troms
1871;Andøy;Andenes;Nordland;Andenes, Andøy, Nordland
5526;Sørreisa;Sørreisa;Troms;Sørreisa, Sørreisa, Troms
5612;Kautokeino;Kautokeino;Finnmark;Kautokeino, Kautokeino, Finnmark
5524;Målselv;Moen;Troms;Moen, Målselv, Troms
5528;Dyrøy;Brøstadbotn;Troms;Brøstadbotn, Dyrøy, Troms
1868;Øksnes;Myre;Nordland;Myre, Øksnes, Nordland
5522;Salangen;Sjøvegan;Troms;Sjøvegan, Salangen, Troms
5520;Bardu;Setermoen;Troms;Setermoen, Bardu, Troms
5514;Ibestad;Hamnvik;Troms;Hamnvik, Ibestad, Troms
5503;Harstad;Harstad;Troms;Harstad, Harstad, Troms
5518;Lavangen;Tennevoll;Troms;Tennevoll, Lavangen, Troms
5510;Kvæfjord;Borkenes;Troms;Borkenes, Kvæfjord, Troms
1870;Sortland;Sortland;Nordland;Sortland, Sortland, Nordland
5516;Gratangen;Årstein;Troms;Årstein, Gratangen, Troms
1576;Aure;Aure;Møre og Romsdal;Aure, Aure, Møre og Romsdal
5512;Tjeldsund;Evenskjer;Troms;Evenskjer, Tjeldsund, Troms
1866;Hadsel;Stokmarknes;Nordland;Stokmarknes, Hadsel, Nordland
1853;Evenes;Bogen;Nordland;Bogen, Evenes, Nordland
1851;Lødingen;Lødingen;Nordland;Lødingen, Lødingen, Nordland
1806;Narvik;Narvik;Nordland;Narvik, Narvik, Nordland
1865;Vågan;Svolvær;Nordland;Svolvær, Vågan, Nordland
1528;Sykkylven;Aure;Møre og Romsdal;Aure, Sykkylven, Møre og Romsdal
1859;Flakstad;Ramberg;Nordland;Ramberg, Flakstad, Nordland
1875;Hamarøy;Oppeid;Nordland;Oppeid, Hamarøy, Nordland
1874;Moskenes;Reine;Nordland;Reine, Moskenes, Nordland
1848;Steigen;Leinesfjord;Nordland;Leinesfjord, Steigen, Nordland
1857;Værøy;Sørland;Nordland;Sørland, Værøy, Nordland
1856;Røst;Røstlandet;Nordland;Røstlandet, Røst, Nordland
4646;Fjaler;Dale;Vestland;Dale, Fjaler, Vestland
1804;Bodø;Bodø;Nordland;Bodø, Bodø, Nordland
1841;Fauske;Fauske;Nordland;Fauske, Fauske, Nordland
1838;Gildeskål;Inndyr;Nordland;Inndyr, Gildeskål, Nordland
1840;Saltdal;Rognan;Nordland;Rognan, Saltdal, Nordland
1839;Beiarn;Moldjord;Nordland;Moldjord, Beiarn, Nordland
1837;Meløy;Ørnes;Nordland;Ørnes, Meløy, Nordland
1836;Rødøy;Vågaholmen;Nordland;Vågaholmen, Rødøy, Nordland
1835;Træna;Husøya;Nordland;Husøya, Træna, Nordland
1834;Lurøy;Lurøy;Nordland;Lurøy, Lurøy, Nordland
1833;Rana;Mo i Rana;Nordland;Mo i Rana, Rana, Nordland
1828;Nesna;Nesna;Nordland;Nesna, Nesna, Nordland
1827;Dønna;Solfjellsjøen;Nordland;Solfjellsjøen, Dønna, Nordland
1832;Hemnes;Korgen;Nordland;Korgen, Hemnes, Nordland
1822;Leirfjord;Leland;Nordland;Leland, Leirfjord, Nordland
1818;Herøy;Silvalen;Nordland;Silvalen, Herøy, Nordland
1820;Alstahaug;Sandnessjøen;Nordland;Sandnessjøen, Alstahaug, Nordland
1824;Vefsn;Mosjøen;Nordland;Mosjøen, Vefsn, Nordland
1816;Vevelstad;Vevelstad;Nordland;Vevelstad, Vevelstad, Nordland
1815;Vega;Gladstad;Nordland;Gladstad, Vega, Nordland
1826;Hattfjelldal;Hattfjelldal;Nordland;Hattfjelldal, Hattfjelldal, Nordland
1813;Brønnøy;Brønnøysund;Nordland;Brønnøysund, Brønnøy, Nordland
1825;Grane;Trofors;Nordland;Trofors, Grane, Nordland
4628;Vaksdal;Dale;Vestland;Dale, Vaksdal, Vestland
1811;Bindal;Terråk;Nordland;Terråk, Bindal, Nordland
1860;Vestvågøy;Leknes;Nordland;Leknes, Vestvågøy, Nordland
5060;Nærøysund;Rørvik;Trøndelag;Rørvik, Nærøysund, Trøndelag
