Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter;lat;lng
5620;Nordkapp;Honningsvåg;Finnmark;Honningsvåg, Nordkapp, Finnmark;70.9822909;25.9702074
5626;Gamvik;Mehamn;Finnmark;Mehamn, Gamvik, Finnmark;71.0357069;27.848941
5618;Måsøy;Havøysund;Finnmark;Havøysund, Måsøy, Finnmark;70.9976392;24.6639648
5630;Berlevåg;Berlevåg;Finnmark;Berlevåg, Berlevåg, Finnmark;70.8580573;29.0858433
5624;Lebesby;Kjøllefjord;Finnmark;Kjøllefjord, Lebesby, Finnmark;70.94576959999999;27.3467912
5632;Båtsfjord;Båtsfjord;Finnmark;Båtsfjord, Båtsfjord, Finnmark;70.6345012;29.717845
5603;Hammerfest;Hammerfest;Finnmark;Hammerfest, Hammerfest, Finnmark;70.66343820000002;23.6819665
5616;Hasvik;Breivikbotn;Finnmark;Breivikbotn, Hasvik, Finnmark;70.58823029999999;22.2854438
5634;Vardø;Vardø;Finnmark;Vardø, Vardø, Finnmark;70.3706399;31.1095471
5628;Tana;Tana bru;Finnmark;Tana bru, Tana, Finnmark;70.1990847;28.1762324
5614;Loppa;Øksfjord;Finnmark;Øksfjord, Loppa, Finnmark;70.23964620000001;22.3479396
5622;Porsanger;Lakselv;Finnmark;Lakselv, Porsanger, Finnmark;70.0512597;24.9485869
5636;Nesseby;Varangerbotn;Finnmark;Varangerbotn, Nesseby, Finnmark;70.1727828;28.5556762
5607;Vadsø;Vadsø;Finnmark;Vadsø, Vadsø, Finnmark;70.0745056;29.7481181
5542;Skjervøy;Skjervøy;Troms;Skjervøy, Skjervøy, Troms;70.0339919;20.9737453
5534;Karlsøy;Hansnes;Troms;Hansnes, Karlsøy, Troms;69.9623672;19.6186194
5601;Alta;Alta;Finnmark;Alta, Alta, Finnmark;69.96873760000001;23.2715496
5546;Kvænangen;Burfjord;Troms;Burfjord, Kvænangen, Troms;69.9374457;22.04917
5544;Nordreisa;Storslett;Troms;Storslett, Nordreisa, Troms;69.7677162;21.0369083
5605;Sør-Varanger;Kirkenes;Finnmark;Kirkenes, Sør-Varanger, Finnmark;69.7269192;30.0450432
5501;Tromsø;Tromsø;Troms;Tromsø, Tromsø, Troms;69.6492047;18.9553238
5536;Lyngen;Lyngseidet;Troms;Lyngseidet, Lyngen, Troms;69.57633919999999;20.2187063
5540;Kåfjord;Olderdalen;Troms;Olderdalen, Kåfjord, Troms;69.60406499999999;20.5327207
5610;Karasjok;Karasjok;Finnmark;Karasjok, Karasjok, Finnmark;69.47193500000002;25.510813
5538;Storfjord;Hatteng;Troms;Hatteng, Storfjord, Troms;69.27069709999999;19.9593591
5530;Senja;Finnsnes;Troms;Finnsnes, Senja, Troms;69.232038;17.9808555
5532;Balsfjord;Storsteinnes;Troms;Storsteinnes, Balsfjord, Troms;69.2408122;19.2343693
1871;Andøy;Andenes;Nordland;Andenes, Andøy, Nordland;69.31607989999999;16.1202284
5526;Sørreisa;Sørreisa;Troms;Sørreisa, Sørreisa, Troms;69.15179739999999;18.1688089
5612;Kautokeino;Kautokeino;Finnmark;Kautokeino, Kautokeino, Finnmark;69.0180912;23.0470392
5524;Målselv;Moen;Troms;Moen, Målselv, Troms;69.1305608;18.6120503
5528;Dyrøy;Brøstadbotn;Troms;Brøstadbotn, Dyrøy, Troms;69.0885461;17.6927701
1868;Øksnes;Myre;Nordland;Myre, Øksnes, Nordland;68.91532149999999;15.0794821
5522;Salangen;Sjøvegan;Troms;Sjøvegan, Salangen, Troms;68.872627;17.8526431
5520;Bardu;Setermoen;Troms;Setermoen, Bardu, Troms;68.8609596;18.3483185
5514;Ibestad;Hamnvik;Troms;Hamnvik, Ibestad, Troms;68.7802291;17.1703879
5503;Harstad;Harstad;Troms;Harstad, Harstad, Troms;68.7986342;16.5414503
5518;Lavangen;Tennevoll;Troms;Tennevoll, Lavangen, Troms;68.746499;17.8061157
5510;Kvæfjord;Borkenes;Troms;Borkenes, Kvæfjord, Troms;68.7755292;16.1765766
1870;Sortland;Sortland;Nordland;Sortland, Sortland, Nordland;68.69588449999999;15.4051116
5516;Gratangen;Årstein;Troms;Årstein, Gratangen, Troms;68.6905857;17.5426984
1576;Aure;Aure;Møre og Romsdal;Aure, Aure, Møre og Romsdal;63.26611149999999;8.5299946
5512;Tjeldsund;Evenskjer;Troms;Evenskjer, Tjeldsund, Troms;68.5887022;16.5691331
1866;Hadsel;Stokmarknes;Nordland;Stokmarknes, Hadsel, Nordland;68.56483829999999;14.9098717
1853;Evenes;Bogen;Nordland;Bogen, Evenes, Nordland;68.5187389;17.0031191
1851;Lødingen;Lødingen;Nordland;Lødingen, Lødingen, Nordland;68.41415429999999;15.9943948
1806;Narvik;Narvik;Nordland;Narvik, Narvik, Nordland;68.4384984;17.4272612
1865;Vågan;Svolvær;Nordland;Svolvær, Vågan, Nordland;68.2343088;14.5682238
1528;Sykkylven;Aure;Møre og Romsdal;Aure, Sykkylven, Møre og Romsdal;62.3910083;6.577794799999999
1859;Flakstad;Ramberg;Nordland;Ramberg, Flakstad, Nordland;68.0894483;13.2294735
1875;Hamarøy;Oppeid;Nordland;Oppeid, Hamarøy, Nordland;68.08475729999999;15.6086559
1874;Moskenes;Reine;Nordland;Reine, Moskenes, Nordland;67.9323866;13.0887329
1848;Steigen;Leinesfjord;Nordland;Leinesfjord, Steigen, Nordland;67.77599119999999;15.0156131
1857;Værøy;Sørland;Nordland;Sørland, Værøy, Nordland;67.6635735;12.6926738
1856;Røst;Røstlandet;Nordland;Røstlandet, Røst, Nordland;67.5175048;12.1175007
4646;Fjaler;Dale;Vestland;Dale, Fjaler, Vestland;61.3587936;5.3973385
1804;Bodø;Bodø;Nordland;Bodø, Bodø, Nordland;67.2803556;14.404916
1841;Fauske;Fauske;Nordland;Fauske, Fauske, Nordland;67.2591843;15.3916322
1838;Gildeskål;Inndyr;Nordland;Inndyr, Gildeskål, Nordland;67.0365716;14.0291607
1840;Saltdal;Rognan;Nordland;Rognan, Saltdal, Nordland;67.095278;15.3877831
1839;Beiarn;Moldjord;Nordland;Moldjord, Beiarn, Nordland;67.00638719999999;14.5772046
1837;Meløy;Ørnes;Nordland;Ørnes, Meløy, Nordland;66.8680899;13.7084516
1836;Rødøy;Vågaholmen;Nordland;Vågaholmen, Rødøy, Nordland;66.7136048;13.2874942
1835;Træna;Husøya;Nordland;Husøya, Træna, Nordland;67.98560840000002;15.471475
1834;Lurøy;Lurøy;Nordland;Lurøy, Lurøy, Nordland;66.419774;12.8559074
1833;Rana;Mo i Rana;Nordland;Mo i Rana, Rana, Nordland;66.3137122;14.1419749
1828;Nesna;Nesna;Nordland;Nesna, Nesna, Nordland;66.1980927;13.0181848
1827;Dønna;Solfjellsjøen;Nordland;Solfjellsjøen, Dønna, Nordland;66.10799;12.4904644
1832;Hemnes;Korgen;Nordland;Korgen, Hemnes, Nordland;66.0764129;13.8178555
